                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1181,                 1.7329,                 1.4901,                0.47163,                0.41372,                0.41543,                 0.3266,                 0.9167,                 1.8394,                 1.3326,                0.00769,                0.00769,                0.00769
                     37,                 1.1161,                 1.7285,                 1.4895,                 0.5665,                0.37113,                0.43081,                 0.3398,                 0.9081,                 1.9114,                 1.3273,               0.007624,               0.007624,               0.007624
                     38,                 1.1038,                 1.7093,                 1.4824,                0.49734,                0.44325,                0.44462,                 0.3598,                0.89773,                 1.8115,                  1.329,               0.007558,               0.007558,               0.007558
                     39,                 1.1046,                 1.6872,                 1.4862,                0.54412,                0.39996,                0.43741,                0.35235,                0.89183,                 1.8553,                 1.3226,               0.007492,               0.007492,               0.007492
                     40,                 1.0964,                 1.6776,                 1.4706,                0.54783,                 0.4108,                 0.4447,                 0.3594,                0.87807,                 1.7524,                 1.3029,               0.007426,               0.007426,               0.007426
                     41,                 1.0925,                 1.6453,                 1.4765,                0.48715,                0.44235,                0.43887,                0.35144,                0.89512,                 1.8746,                   1.32,                0.00736,                0.00736,                0.00736
                     42,                 1.0915,                  1.634,                 1.4695,                0.57698,                0.39032,                0.44258,                0.35671,                0.88291,                 1.8127,                 1.3017,               0.007294,               0.007294,               0.007294
                     43,                 1.0738,                 1.6153,                 1.4596,                  0.517,                0.42469,                 0.4437,                0.35545,                0.88215,                 1.8233,                 1.3013,               0.007228,               0.007228,               0.007228
                     44,                   1.08,                 1.6171,                 1.4618,                0.49666,                0.45048,                0.44856,                0.36128,                0.88886,                 1.7499,                 1.3101,               0.007162,               0.007162,               0.007162
                     45,                 1.0752,                 1.5898,                 1.4541,                0.62508,                0.41896,                0.46393,                0.36928,                0.87902,                 1.8071,                 1.3043,               0.007096,               0.007096,               0.007096
                     46,                 1.0712,                 1.5603,                 1.4554,                0.55833,                0.43104,                0.45989,                0.37558,                0.86938,                 1.7822,                 1.2927,                0.00703,                0.00703,                0.00703
                     47,                 1.0688,                 1.5672,                 1.4533,                0.52552,                0.44204,                  0.458,                0.37267,                0.86535,                 1.7755,                 1.2952,               0.006964,               0.006964,               0.006964
                     48,                  1.063,                 1.5565,                 1.4427,                0.59041,                0.43412,                0.47462,                0.39157,                0.87214,                 1.8073,                 1.2922,               0.006898,               0.006898,               0.006898
                     49,                 1.0593,                 1.5342,                 1.4417,                0.59133,                0.42744,                0.46931,                0.38643,                0.86589,                 1.7484,                 1.2953,               0.006832,               0.006832,               0.006832
                     50,                 1.0499,                 1.5075,                 1.4346,                 0.5625,                0.44041,                0.47474,                0.38654,                0.86909,                 1.7163,                    1.3,               0.006766,               0.006766,               0.006766
                     51,                 1.0444,                 1.4924,                 1.4322,                0.58032,                0.43496,                0.47345,                0.38307,                0.87601,                 1.7796,                 1.2989,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.0536,                 1.4897,                 1.4339,                0.57864,                0.42534,                0.47073,                0.37983,                0.86672,                   1.74,                 1.3015,               0.006634,               0.006634,               0.006634
                     53,                 1.0446,                 1.4737,                 1.4287,                0.55766,                0.43519,                 0.4783,                0.39036,                0.86707,                 1.6918,                 1.2938,               0.006568,               0.006568,               0.006568
                     54,                 1.0502,                 1.4702,                 1.4342,                0.54705,                0.44321,                0.48055,                0.38963,                0.87032,                 1.7731,                 1.2962,               0.006502,               0.006502,               0.006502
                     55,                 1.0386,                 1.4494,                 1.4188,                0.65162,                0.43568,                0.48183,                0.39388,                0.87134,                 1.7182,                 1.2888,               0.006436,               0.006436,               0.006436
                     56,                 1.0403,                  1.441,                  1.417,                0.59268,                0.43496,                0.48687,                0.39871,                0.86377,                 1.7097,                 1.2839,                0.00637,                0.00637,                0.00637
                     57,                 1.0229,                 1.4281,                 1.4074,                0.57605,                0.45406,                0.49301,                0.40193,                0.86047,                   1.69,                 1.2823,               0.006304,               0.006304,               0.006304
                     58,                 1.0174,                 1.3968,                  1.407,                0.59156,                0.43882,                0.48208,                0.39148,                0.86854,                 1.7131,                 1.2933,               0.006238,               0.006238,               0.006238
                     59,                 1.0234,                  1.385,                 1.4086,                0.57117,                0.47823,                0.50161,                0.41142,                0.85089,                 1.7086,                 1.2747,               0.006172,               0.006172,               0.006172
                     60,                 1.0173,                 1.3914,                 1.4053,                0.59504,                0.42948,                0.49508,                0.40628,                0.84885,                 1.7201,                 1.2731,               0.006106,               0.006106,               0.006106
                     61,                 1.0041,                 1.3638,                 1.3887,                0.58613,                0.45512,                0.49755,                0.40663,                0.85449,                   1.71,                 1.2792,                0.00604,                0.00604,                0.00604
                     62,                 1.0121,                 1.3621,                 1.4012,                0.61152,                0.44922,                0.50032,                0.40836,                0.85741,                 1.7054,                 1.2778,               0.005974,               0.005974,               0.005974
                     63,                 1.0052,                 1.3424,                 1.3885,                0.60202,                0.44324,                0.49029,                 0.4047,                0.85865,                 1.7188,                 1.2821,               0.005908,               0.005908,               0.005908
                     64,                 1.0078,                   1.34,                 1.3965,                0.60842,                0.44579,                0.50092,                0.41656,                0.84798,                 1.7044,                 1.2757,               0.005842,               0.005842,               0.005842
