                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.216,                 3.7201,                 3.8531,                0.07086,                0.21763,                0.03775,                0.01267,                 2.7696,                    inf,                 4.5822,             0.00047392,             0.00047392,             0.00047392
                      2,                  2.712,                 3.3168,                 3.2068,                0.04685,                  0.073,                0.03474,                0.01367,                  2.374,                 3.5501,                 2.8874,             0.00094398,             0.00094398,             0.00094398
                      3,                 2.3773,                 3.1061,                 2.8751,                0.42584,                0.12471,                0.06565,                0.02913,                 2.1547,                  3.041,                 2.7299,              0.0014078,              0.0014078,              0.0014078
                      4,                  2.209,                 2.9099,                 2.6395,                0.21764,                 0.1677,                 0.1115,                0.04455,                 1.9166,                 3.4283,                 2.4094,              0.0014007,              0.0014007,              0.0014007
                      5,                 2.0438,                 2.7443,                 2.4572,                0.14904,                0.34805,                0.12826,                0.06785,                 1.6926,                 3.3295,                 2.2188,              0.0013913,              0.0013913,              0.0013913
                      6,                 1.9514,                 2.6147,                 2.3236,                0.23326,                 0.3391,                0.18425,                 0.0917,                 1.6507,                 3.1229,                 2.0863,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.8671,                 2.5403,                 2.2306,                0.24851,                0.27951,                0.19885,                0.10435,                 1.5839,                 2.5586,                 2.0164,              0.0013724,              0.0013724,              0.0013724
                      8,                 1.8091,                 2.4668,                  2.146,                0.19912,                0.33693,                0.16169,                0.08949,                 1.5006,                 2.5392,                 1.9137,               0.001363,               0.001363,               0.001363
                      9,                 1.7768,                 2.4248,                 2.1183,                0.25957,                0.31572,                  0.207,                0.11469,                 1.5117,                 2.4833,                 1.9093,              0.0013535,              0.0013535,              0.0013535
                     10,                 1.7299,                 2.3833,                 2.0801,                0.23379,                0.26041,                0.17355,                0.09932,                 1.4682,                 2.6812,                 1.8846,              0.0013441,              0.0013441,              0.0013441
                     11,                 1.7029,                 2.3387,                 2.0182,                0.25666,                0.33419,                0.23419,                0.13973,                 1.4578,                 2.1928,                 1.8159,              0.0013347,              0.0013347,              0.0013347
                     12,                 1.6652,                  2.286,                 2.0003,                0.18326,                0.40961,                0.18598,                0.11406,                 1.4396,                 2.4639,                 1.7865,              0.0013253,              0.0013253,              0.0013253
                     13,                 1.6497,                 2.2755,                 1.9812,                0.28523,                0.38709,                0.24681,                0.15285,                 1.3727,                 2.2184,                  1.765,              0.0013158,              0.0013158,              0.0013158
                     14,                 1.6268,                 2.2345,                 1.9481,                0.29056,                0.28883,                0.22241,                0.14391,                 1.3928,                 2.3398,                  1.734,              0.0013064,              0.0013064,              0.0013064
                     15,                 1.5892,                 2.2201,                 1.9222,                0.34533,                 0.3474,                0.26145,                0.16457,                 1.4118,                 2.1319,                 1.7505,               0.001297,               0.001297,               0.001297
                     16,                 1.5647,                 2.1795,                 1.8766,                0.30268,                0.42327,                0.31084,                0.19272,                 1.3382,                 2.1384,                 1.7003,              0.0012875,              0.0012875,              0.0012875
                     17,                 1.5625,                 2.1605,                 1.8857,                0.29072,                0.44506,                0.26194,                0.16759,                  1.357,                 2.2591,                 1.6931,              0.0012781,              0.0012781,              0.0012781
                     18,                 1.5396,                 2.1021,                 1.8663,                0.46319,                0.34988,                0.32392,                0.20104,                 1.2898,                 2.0565,                 1.6364,              0.0012687,              0.0012687,              0.0012687
                     19,                 1.5688,                 2.0896,                 1.8644,                0.33516,                0.44347,                0.30916,                0.19034,                 1.2782,                 2.0796,                 1.6286,              0.0012592,              0.0012592,              0.0012592
                     20,                 1.5391,                 2.1037,                 1.8515,                 0.3992,                0.35512,                0.29696,                0.19498,                 1.2608,                 2.0472,                 1.6262,              0.0012498,              0.0012498,              0.0012498
                     21,                 1.5222,                 2.0284,                 1.8266,                0.41556,                0.40036,                0.32326,                0.21824,                 1.2383,                 1.9477,                 1.5839,              0.0012404,              0.0012404,              0.0012404
